rater,id,model,empathy,professionalism,safety,naturalness,relevance
1,1,A,2.0,3.5,3.5,4.0,4.5
1,2,A,4.5,2.0,4.0,4.5,3.0
1,3,A,4.5,4.0,4.0,4.5,5
1,4,A,4.0,3.5,3.0,3.5,4.0
1,5,A,3.5,3.5,4.0,4.5,5
1,6,A,3.5,2.0,4.0,3.5,4.5
1,7,A,3.0,3.0,3.5,4.0,4.0
1,8,A,4.5,4.0,5,5,5
1,9,A,3.0,4.0,4.5,4.0,5
1,10,A,4.5,4.5,3.5,3.5,5
1,11,A,4.0,3.0,3.5,4.0,4.5
1,12,A,3.5,4.0,3.0,4.5,5
1,13,A,4.5,4.5,3.0,4.5,5
1,14,A,5,3.5,4.5,5,5
1,15,A,3.5,3.5,4.5,4.5,5
1,16,A,4.5,3.5,3.0,3.5,4.5
1,17,A,4.5,3.5,4.5,4.5,5
1,18,A,4.0,3.0,3.5,4.5,3.0
1,19,A,4.5,2.0,3.5,5,4.0
1,20,A,3.5,4.0,3.5,4.5,5
1,21,A,5,3.0,3.0,4.5,3.5
1,22,A,5,4.5,5,5,4.5
1,23,A,4.0,2.5,3.5,4.5,3.5
1,24,A,3.0,4.0,3.0,3.5,5
1,25,A,5,4.0,4.0,4.5,4.0
1,26,A,4.0,3.5,4.0,4.0,4.0
1,27,A,3.0,3.5,4.0,4.5,4.5
1,28,A,4.0,2.0,3.5,3.5,5
1,29,A,4.0,4.0,4.0,4.0,5
1,30,A,3.5,3.5,3.0,4.5,5
1,31,A,4.0,5,4.0,5,5
1,32,A,3.5,3.5,5,4.5,5
1,33,A,3.5,4.0,4.0,5,5
1,34,A,4.0,3.5,4.0,4.5,4.5
1,35,A,4.0,4.0,5,4.0,5
1,36,A,4.5,4.5,3.5,5,4.0
1,37,A,3.5,3.5,3.0,5,3.5
1,38,A,3.5,4.0,4.5,4.5,4.0
1,39,A,4.0,4.0,4.0,3.5,5
1,40,A,4.0,5,5,3.5,5
1,41,A,4.0,3.5,3.0,4.5,5
1,42,A,4.0,3.5,3.5,4.5,4.5
1,43,A,4.0,3.0,4.0,4.5,4.5
1,44,A,3.0,3.5,3.5,4.0,4.5
1,45,A,4.5,4.0,4.5,4.0,5
1,46,A,4.0,5,4.5,3.5,5
1,47,A,4.5,3.5,4.0,4.5,5
1,48,A,4.5,3.5,3.5,5,5
1,49,A,4.0,4.0,5,4.5,5
1,50,A,4.0,4.5,4.0,5,5
1,51,A,4.0,3.0,4.0,5,4.5
1,52,A,4.0,3.0,4.5,4.5,5
1,53,A,3.5,2.5,3.0,4.0,3.0
1,54,A,3.0,2.5,3.0,4.0,3.5
1,55,A,4.0,3.0,4.0,4.5,5
1,56,A,3.5,2.5,3.5,4.0,3.5
1,57,A,3.0,3.0,3.0,4.0,3.0
1,58,A,2.0,3.0,4.5,4.0,4.0
1,59,A,4.0,4.0,4.5,5,5
1,60,A,4.0,4.0,4.5,4.5,5
1,61,A,3.0,2.5,4.5,3.5,4.0
1,62,A,3.5,3.0,3.0,4.0,4.0
1,63,A,3.0,2.5,3.0,4.5,3.0
1,64,A,4.0,3.0,4.5,4.0,5
1,65,A,4.5,4.0,3.5,3.5,4.5
1,66,A,4.0,2.0,3.0,3.5,5
1,67,A,4.5,4.5,5,5,4.0
1,68,A,2.5,3.5,4.0,4.5,5
1,69,A,4.5,3.5,4.0,5,5
1,70,A,4.5,4.0,5,5,4.0
1,71,A,2.0,2.0,3.0,4.0,4.0
1,72,A,5,2.5,3.5,4.0,3.0
1,73,A,3.0,3.0,4.5,4.0,3.0
1,74,A,3.0,4.5,4.0,4.5,5
1,75,A,4.0,4.0,3.0,3.0,4.5
1,76,A,3.5,4.0,4.0,4.0,4.5
1,77,A,4.5,4.5,3.5,5,5
1,78,A,3.0,2.5,3.0,4.5,4.5
1,79,A,4.5,3.0,4.0,5,4.0
1,80,A,5,4.5,4.0,5,5
1,81,A,3.0,3.5,3.0,4.0,3.5
1,82,A,4.5,3.0,3.5,4.5,4.5
1,83,A,3.5,3.0,3.0,5,3.5
1,84,A,4.5,3.5,4.5,3.5,5
1,85,A,4.5,3.5,3.5,4.0,4.0
1,86,A,4.0,3.5,3.5,4.0,4.0
1,87,A,4.5,3.0,3.5,4.5,4.0
1,88,A,4.5,3.0,3.0,4.0,5
1,89,A,4.5,3.0,4.0,5,4.0
1,90,A,5,3.5,4.0,4.0,5
1,91,A,3.0,4.0,4.0,3.5,4.5
1,92,A,3.5,4.0,3.5,3.5,5
1,93,A,3.5,3.0,4.5,4.5,5
1,94,A,4.5,3.5,4.5,3.5,4.5
1,95,A,5,4.5,3.5,5,5
1,96,A,5,4.5,3.0,4.0,5
1,97,A,3.5,2.5,4.0,4.5,4.5
1,98,A,4.0,4.5,4.5,4.0,5
1,99,A,3.0,3.5,4.0,4.0,4.0
1,100,A,4.0,2.0,3.5,4.0,3.0
1,101,A,4.0,3.0,4.0,3.5,4.0
1,102,A,4.0,3.0,4.5,3.5,5
1,103,A,4.5,4.0,3.5,4.5,4.5
1,104,A,3.0,3.5,3.0,3.5,5
1,105,A,3.5,5,4.5,4.5,5
1,106,A,5,4.5,3.5,4.0,3.0
1,107,A,4.0,4.5,4.5,4.5,5
1,108,A,5,4.5,3.0,4.5,5
1,109,A,4.0,5,4.5,5,5
1,110,A,4.5,3.0,4.5,3.5,5
1,111,A,3.5,3.0,3.5,4.0,4.5
1,112,A,4.0,3.5,4.0,3.5,5
1,113,A,5,3.0,3.0,5,5
1,114,A,4.5,5,5,4.0,5
1,115,A,4.0,3.5,4.0,4.5,5
1,116,A,4.5,3.5,4.0,4.5,5
1,117,A,3.0,3.5,4.5,4.0,5
1,118,A,5,4.0,4.0,3.5,5
1,119,A,4.5,4.0,4.0,4.5,5
1,120,A,4.0,3.5,4.0,4.5,3.5
1,121,A,4.0,4.0,3.5,4.5,5
1,122,A,4.5,4.5,5,4.5,4.0
1,123,A,3.5,4.5,4.5,4.0,5
1,124,A,3.0,3.5,2.5,3.5,3.0
1,125,A,5,5,4.5,4.0,5
1,126,A,4.5,4.5,3.5,4.5,5
1,127,A,4.5,3.0,3.5,5,5
1,128,A,5,4.0,3.5,5,4.0
1,129,A,4.0,4.0,4.5,5,5
1,130,A,4.0,4.0,4.5,4.5,4.0
1,131,A,5,4.0,4.0,5,5
1,132,A,3.0,4.0,3.5,4.0,5
1,133,A,4.0,2.0,3.5,5,5
1,134,A,5,4.5,3.5,4.0,4.5
1,135,A,4.0,3.0,3.0,5,4.0
1,136,A,4.5,4.0,4.5,4.0,5
1,137,A,3.5,4.5,3.5,4.5,4.0
1,138,A,3.0,4.0,3.5,5,5
1,139,A,5,4.5,4.5,5,5
1,140,A,4.0,2.0,4.0,4.5,5
1,141,A,2.5,3.5,3.0,4.5,4.5
1,142,A,3.5,4.0,3.5,4.5,4.0
1,143,A,4.5,4.5,3.5,3.5,4.5
1,144,A,4.0,3.5,3.5,5,5
1,145,A,4.0,4.0,4.5,3.5,5
1,146,A,3.5,4.0,4.0,5,5
1,147,A,5,4.0,4.0,3.5,5
1,148,A,4.0,3.5,3.5,4.5,4.5
1,149,A,4.0,4.0,3.0,4.0,4.0
1,150,A,4.0,4.5,3.5,3.5,5
1,151,A,5,2.5,4.5,3.5,4.5
1,152,A,3.0,4.0,4.0,4.5,5
1,153,A,3.5,4.5,4.5,3.5,4.0
