id,topic,model,empathy,professionalism,safety,naturalness,relevance
eval_005,原生家庭,A,3,3,4,4,4
eval_005,原生家庭,B,4,4,4,5,5
eval_007,原生家庭,A,4,3,4,4,4
eval_007,原生家庭,B,4,3,4,5,4
eval_003,原生家庭,A,4,4,4,4,5
eval_003,原生家庭,B,4,3,3,5,4
eval_008,原生家庭,A,4,4,4,4,4
eval_008,原生家庭,B,4,3,3,5,4
eval_002,原生家庭,A,4,4,4,4,5
eval_002,原生家庭,B,5,4,4,5,5
eval_006,原生家庭,A,3,2,4,4,4
eval_006,原生家庭,B,4,4,4,5,5
eval_001,原生家庭,A,4,4,4,4,5
eval_001,原生家庭,B,4,3,4,5,4
eval_004,原生家庭,A,4,5,5,4,5
eval_004,原生家庭,B,3,2,4,4,2
eval_010,原生家庭,A,4,4,4,4,5
eval_010,原生家庭,B,3,3,3,4,4
eval_013,原生家庭,A,4,4,4,4,5
eval_013,原生家庭,B,4,3,3,5,4
eval_015,原生家庭,A,4,3,4,4,4
eval_015,原生家庭,B,5,5,4,5,5
eval_009,原生家庭,A,3,4,4,4,5
eval_009,原生家庭,B,4,2,3,5,2
eval_012,原生家庭,A,4,4,4,4,5
eval_012,原生家庭,B,3,2,3,5,3
eval_011,原生家庭,A,4,4,4,4,5
eval_011,原生家庭,B,4,3,3,5,4
eval_016,原生家庭,A,4,4,4,4,5
eval_016,原生家庭,B,3,2,3,4,3
eval_014,原生家庭,A,4,4,4,4,5
eval_014,原生家庭,B,3,2,3,4,3
eval_017,原生家庭,A,4,4,4,4,5
eval_017,原生家庭,B,5,3,3,5,4
eval_021,原生家庭,A,3,3,4,4,4
eval_021,原生家庭,B,5,4,4,5,5
eval_018,原生家庭,A,4,3,4,4,4
eval_018,原生家庭,B,4,2,4,4,3
eval_020,原生家庭,A,4,4,4,4,5
eval_020,原生家庭,B,4,3,4,5,4
eval_022,原生家庭,A,4,3,4,4,4
eval_022,原生家庭,B,4,3,4,5,4
eval_019,原生家庭,A,4,5,5,5,5
eval_019,原生家庭,B,3,2,3,4,2
eval_023,原生家庭,A,4,3,4,4,4
eval_023,原生家庭,B,5,4,4,5,5
eval_024,原生家庭,A,4,4,4,4,5
eval_024,原生家庭,B,4,2,3,5,3
eval_025,原生家庭,A,4,4,4,4,4
eval_025,原生家庭,B,4,3,4,5,4
eval_027,亲密关系,A,4,4,4,4,5
eval_027,亲密关系,B,4,3,4,5,4
eval_028,亲密关系,A,4,4,4,4,5
eval_028,亲密关系,B,4,3,4,5,4
eval_030,亲密关系,A,4,3,4,4,5
eval_030,亲密关系,B,5,4,4,5,5
eval_026,亲密关系,A,4,4,4,4,5
eval_026,亲密关系,B,3,2,3,5,3
eval_031,亲密关系,A,4,4,4,4,5
eval_031,亲密关系,B,4,2,3,5,3
eval_029,亲密关系,A,4,5,5,4,5
eval_029,亲密关系,B,4,2,5,4,3
eval_033,亲密关系,A,4,4,5,4,5
eval_033,亲密关系,B,4,2,5,5,3
eval_032,亲密关系,A,4,4,4,4,5
eval_032,亲密关系,B,3,2,3,4,3
eval_035,亲密关系,A,4,3,4,4,4
eval_035,亲密关系,B,4,3,4,5,4
eval_034,亲密关系,A,4,4,5,4,5
eval_034,亲密关系,B,4,2,5,5,3
eval_037,亲密关系,A,4,4,4,4,5
eval_037,亲密关系,B,4,3,4,5,4
eval_038,亲密关系,A,3,3,4,4,4
eval_038,亲密关系,B,5,4,4,5,5
eval_036,亲密关系,A,4,4,4,4,5
eval_036,亲密关系,B,4,3,4,5,4
eval_040,亲密关系,A,4,4,4,4,5
eval_040,亲密关系,B,4,3,4,5,4
eval_039,亲密关系,A,4,5,5,4,5
eval_039,亲密关系,B,4,2,5,5,3
eval_041,亲密关系,A,4,4,4,4,5
eval_041,亲密关系,B,4,3,4,5,4
eval_042,亲密关系,A,4,4,4,4,5
eval_042,亲密关系,B,3,2,3,4,3
eval_045,亲密关系,A,4,3,4,4,4
eval_045,亲密关系,B,5,4,4,5,5
eval_046,亲密关系,A,4,4,4,4,5
eval_046,亲密关系,B,4,3,4,5,4
eval_043,亲密关系,A,4,4,4,4,5
eval_043,亲密关系,B,3,2,3,4,3
eval_044,亲密关系,A,4,5,5,4,5
eval_044,亲密关系,B,5,3,5,5,3
eval_047,亲密关系,A,4,4,5,4,5
eval_047,亲密关系,B,4,3,5,5,4
eval_050,亲密关系,A,4,4,4,5,5
eval_050,亲密关系,B,4,3,4,5,5
eval_049,亲密关系,A,4,4,5,4,5
eval_049,亲密关系,B,4,2,4,5,3
eval_048,亲密关系,A,4,4,5,5,5
eval_048,亲密关系,B,5,5,5,5,5
eval_052,职场内耗,A,4,4,5,4,5
eval_052,职场内耗,B,5,3,5,5,4
eval_051,职场内耗,A,4,4,4,4,5
